Base Weapon, Name, Rarity, Type, Damage, Ammo, Mag, Fire Rate, Range, Accuracy, Mass, Value, Mods, Description
AA-99, Marksman's AA-99, Rare, Rifle, 31 PHYS, 11MM, 25, 40, 42, 81.7%, 7.25, 27884, 7/8, "Hitman: +15% damage while aiming. Stabilizing Barrel, Short Scope, Suppressor, Ergonomic Stock, Tactical Magazine, High Velocity, Semi-Automatic."
Barrow Knife, Lacerate Barrow Knife, Epic, Melee, 28 PHYS, , , , , , 0.34, 2562, , "Exterminator: +30% damage against aliens. Lacerate: Randomly applies a bleed effect to the target."
Coachman, Coachman, Common, Shotgun, 52 PHYS, Caseless Shell, 2, 47, 20, 38.4%, 3.00, 1650, 0/7,
Coachman, Rapid Coachman, Epic, Shotgun, 57 PHYS, Caseless Shell, 2, 58, 20, 38.4%, 3.00, 3465, 0/7, "Anti-Personnel: +10% damage against humans. Rapid: +25% increase in attack speed."
Coachman, Suppressed Coachman, Common, Shotgun, 68 PHYS, Caseless Shell, 2, 47, 37, 56.5%, 3.50, 3052, 2/7, "Suppressor, Slug Shots"
Combat Knife, Combat Knife, Common, Melee, 20 PHYS, , , , , , 0.36, 505, ,
Cutter, Cutter, Common, Heavy, 4 ENGY, CUTTER, --, 76, 3, 76.7%, 4.00, 475, 0/0,
Eon, Eon, Common, Pistol, 10 PHYS, 7.77MM, 12, 50, 20, 67.5%, 0.55, 750, 0/6,
Eon, Calibrated Eon, Common, Pistol, 23 PHYS, 7.77MM, 12, 50, 19, 68.1%, 0.55, 2437, 0/6,
Equinox, Equinox, Common, Laser Rifle, 13 ENGY, 3KV LZR, 20, 50, 50, 70.2%, 3.20, 2408, 0/7,
Grendel, Grendel, Common, Rifle, 3 PHYS, 7.77MM, 50, 170, 20, 66.2%, 2.65, 1402, 0/8,
Grendel, Suppressed Grendel, Common, Rifle, 3 PHYS, 7.77MM, 50, 170, 17, 69.9%, 2.70, 2103, 2/8, "Suppressor, Tactical Grip."
Grendel, Calibrated Grendel, Common, Rifle, 5 PHYS, 7.77MM, 50, 170, 21, 66.9%, 2.65, 1720, 0/8,
Grendel, Bashing Smuggler's Calibrated Grendel, Rare, Rifle, 6 PHYS, 7.77MM, 50, 170, 19, 67.6%, 2.65, 3695, 3/8, "Bashing: Deals double damage when gun bashing. Short Barrel, Recon Laser Sight, Reflex Sight."
Kraken, Anti-Personnel Kraken, Rare, Pistol, 3 PHYS, 6.5MM, 25, 150, 20, 69.6%, 1.00, 1088, 0/6, Anti-Personnel: +10% damage against humans.
Kraken, Extended Mag Kraken, Rare, Pistol, 3 PHYS, 6.5MM, 50, 150, 20, 69.6%, 1.00, 1088, 0/6, Extended Magazine: Doubles the base magazine capacity.
Kraken, Suppressed Kraken, Common, Pistol, 3 PHYS, 6.5MM, 40, 150, 17, 75.2%, 2.05, 1564, 3/6, "Suppressor, Muzzle Brake, Large Magazine."
Kraken, Suppressed Calibrated Kraken, Common, Pistol, 6 PHYS, 6.5MM, 40, 150, 17, 73.2%, 1.80, 2006, 2/6, "Suppressor, Large Magazine."
Lawgiver, Disassembler Modified Lawgiver, Rare, Rifle, 38 PHYS, .50 Caliber, 6, 10, 40, 68.0%, 3.60, 5029, 1/6, "Disassembler: +20% damage against robots. Armour-Piercing Rounds."
Maelstrom, Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 40, 150, 40, 65.8%, 4.15, 1210, 0/7,
Maelstrom, Assassin's Maelstrom, Common, Rifle, 11 PHYS, 6.5MM, 40, 60, 42, 85.9%, 5.65, 2860, 5/7, "Long Barrel, Medium Scope, Suppressor, Tactical Magazine, Semi-Automatic"
Maelstrom, Assassin's Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 55, 150, 42, 79.7%, 6.25, 2860, 4/7, "Long Barrel, Short Scope, Suppressor, Large Magazine"
Maelstrom, Boosted Maelstrom, Common, Rifle, 4 PHYS, 6.5MM, 55, 150, 58, 69.5%, 5.85, 2475, 3/7, "Long Barrel, Reflex Sight, Large Magazine"
Maelstrom, Suppressed Maelstrom, Common, Rifle, 11 PHYS, 6.5MM, 40, 60, 34, 78.8%, 4.75, 1925, 3/7, "Short Scope, Suppressor, Semi-Automatic"
Maelstrom, Extended Mag Boosted Calibrated Maelstrom, Rare, Rifle, 23 PHYS, 6.5MM, 95, 60, 48, 83.8%, 6.30, 4042, 5/7, "Extended Magazine: Doubles the base magazine capacity. Long Barrel, Medium Scope, Compensator, Large Magazine, Semi-Automatic."
Novalight, Novalight, Common, Particle Beam Pistol, 8 PHYS 25 ENGY, Light Fuse, 12, 22, 30, 68.6%, 1.35, 4620, 0/7, 
Old Earth Hunting Rifle, Old Earth Hunting Rifle, Common, Rifle, 30 PHYS, 9x39MM, 20, 40, 100, 86.8%, 3.15, 5264, 0/3,
Old Earth Shotgun, Suppressed Old Earth Shotgun, Common, Shotgun, 80 PHYS, 12G Shell, 6, 6, 17, 65.6%, 4.70, 4161, 2/5, "Suppressor, Stock."
Orion, Orion, Common, Laser Rifle, 27 ENGY, 3KV LZR, 35, 33, 50, 77.0%, 5.25, 5227, 0/7,
Orion, Stealth Orion, Common, Laser Rifle, 27 ENGY, 3KV LZR, 35, 33, 42, 73.0%, 6.65, 6303, 2/7, "Reflex Sight, Stealth Lasers."
Rattler, Rattler, Common, Pistol, 10 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 942, 0/7,
Rattler, Calibrated Rattler, Common, Pistol, 19 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 1530, 0/7,
Rattler, Staggering Rattler, Epic, Pistol, 10 PHYS, .27 Caliber, 12, 50, 20, 68.1%, 0.85, 1805, 0/7, "Space-Adept: +30% damage while in space, and -15% damage while on a planet. Staggering: Small chance to stagger enemies."
Rattler, Boosted Calibrated Rattler, Common, Pistol, 17 PHYS, .27 Caliber, 12, 50, 24, 71.4%, 2.05, 2354, 3/7, "Long Barrel, Reflex Sight, Whitehot Rounds"
Regulator, Advanced Regulator, Common, Pistol, 100 PHYS, .43 Ultramag, 8, 18, 20, 71.3%, 0.70, 11124, 0/7,
Rescue Axe, Rescue Axe, Common, Melee, 21 PHYS, , , , , , 1.40, 650, ,
Rescue Axe, Space Adept Rescue Axe, Rare, Melee, 21 PHYS, , , , , , 1.40, 121, , "Space-Adept: +30% damage while in space, and -15% damage while on a planet."
Ripshank, Ripshank, Common, Melee, 15 PHYS, , , , , , 0.40, 365, ,
Ripshank, Beserker Ripshank, Rare, Melee, 15 PHYS, , , , , , 0.40, 547, , "Beserker: Does more damage the less armour one has."
Sidearm, Ace Sidearm, Rare, Pistol, .27 Caliber, 20, 40, 20, 72.0%, 1.70, 9468, 5/7, "Anti-Personnel: +1-% damage against humans. Recon Laser Sight, Reflex Sight, Muzzle Break, Armour-Piercing Rounds, High Powered.
Sidestar, Sidestar, Common, Pistol, 12 PHYS, .27 Caliber, 17, 40, 20, 67.9%, 0.65, 825, 0/7,
Sir Livingstone's Pistol, Sir Livingstone's Pistol, Common, Pistol, 31 PHYS, .45 Caliber, 15, 67, 21, 69.2%, 1.80, 7612, 2/4, "Large Magazine, High Velocity."
Solstice, Solstice, Common, Laser Pistol, 10 ENGY, 1.5KV LZR, 16, 25, 31, 69.8%, 1.30, 1960, 0/7,
Solstice, Space Adept Solstice, Rare, Laser Pistol, 10 ENGY, 1.5KV LZR, 16, 25, 30, 69.3%, 1.30, 2660, 0/7, "Space-Adept: +30% damage while in space, and -15% damage while on a planet."
Solstice, Professional's Solstice, Common, Laser Pistol, 10 ENGY, 1.5KV LZR, 10, 25, 27, 72.5%, 2.40, 2730, 3/7, "Short Barrel with Laser Sight, Holographic Sight, Focal Lens."
Solstice, Exerminator's Refined Solstice, Rare, Laser Pistol, 30 ENGY, 1.5KV LZR, 16, 25, 31, 69.8%, 1.30, 682, 0/7, "Exterminator: +30% damage against aliens."
UC Naval Cutlass, UC Naval Cutlass, Common, Melee, 25 PHYS, , , , , , 1.40, 935, ,
UC Naval Cutlass, Lacerate UC Naval Cutlass, Epic, Melee, 25 PHYS, , , , , , 1.40, 1963, , "Instigating: Deals double damage to targets with full health. Lacerate: Randomly applies a bleed effect to the target."
