Manufacturer,Model,Year
Alfa Romeo,4C,2015
Alfa Romeo,8C Competizone,
Aston Martin,V8 Vantage S,2012
Aston Martin,V12 Zagato,2012
Bentley,Continental Supersports,2010
BMW,M5,2011
BMW,Z4 sDrive35is,2011
Cadillac,Escalade,2012
Chevrolet,Camaro RS,1969
Chevrolet,Camaro SS,2010
Chevrolet,Corvette C2,
Chevrolet,Corvette C3,1968
Chevrolet,Corvette C7 Stingray,
Chevrolet,Corvette ZR1,2010
Chevrolet,Impala Sport Sedan,1967
Chevrolet,Silverado SS,2013
Chrysler,300 SRT-8,2013
Dodge,Charger R/T HEMI,1969
Dodge,Charger SRT-8,2012
Dodge,Challenger SRT-8 392,2013
Dodge,Ram SRT-10,2004
Dodge,SRT Viper GTS,2013
Dodge,Viper SRT10,2010
Ferrari,458 Speciale,
Ferrari,LaFerrari,2015
Fiat,Abarth 500,
Ford,Mustang GT,2011
Ford,Mustang GT Fastback,2015
Ford,Focus RS,2010
Ford,F150 SVT Raptor,2011
Ford,GT,2005
Ford,Shelby GT500,1967
Ford,Shelby GT500,2013
Hummer,H1 Alpha,2006
Jeep,Grand Cherokee SRT-8,2012
Koenigsegg,Agera R,2012
Lamborghini,Aventador LP700-4,2012
Lamborghini,Gallardo LP570-4 Superleggera,
Lamborghini,Miura SV,1967
Lamborghini,Murcielago LP640,2010
Maserati,GranTurismo S,
McLaren,F1,1993
McLaren,MP4-12C,2011
Mercedes-Benz,C63 AMG Coupe Black Series,
Mercedes-Benz,SL63 AMG (R230),
Mercedes-Benz,SLS AMG (C197),
Mercedes-Benz,300 SLR,
Mini,Cooper S,2010
Mini,Countryman,
Nissan,370Z Z34,2013
Nissan,Skyline GT-R R34,
Pagani,Huayra,2013
RUF,3400 K,
RUF,CTR3,2009
RUF,RT-35,
Saleen,S7 Twin Turbo,2005
Spyker,C8 Aileron,
Volkswagen,Golf GTI,2013
Volkswagen,Touareg NF,2011